dbn,school_name,primary_address_line_1,city,postcode,latitude,longitude,gradespan,subway,pct_stu_safe,graduation_rate,attendance_rate,college_career_rate
29Q243,Institute for Health Professions at Cambria Heights,207- 01 116th Avenue,Cambria Heights,11411,40.697819,-73.745728,9 to 12,N/A,0.88999999,0.88999999,0.87,0.74000001
29Q248,Queens Preparatory Academy,143-10 Springfield Boulevard,Springfield Gardens,11413,40.668235,-73.756839,9 to 12,N/A,0.67000002,0.79000002,0.81,0.52999997
29Q259,Pathways College Preparatory School: A College Board School,109-89 204th Street,Saint Albans,11412,40.70646,-73.753579,6 to 12,N/A,0.69999999,0.83999997,0.89999998,0.50999999
29Q265,Excelsior Preparatory High School,143-10 Springfield Boulevard,Springfield Gardens,11413,40.668235,-73.756839,9 to 12,N/A,0.81999999,0.83999997,0.86000001,0.61000001
29Q272,George Washington Carver High School for the Sciences,143-10 Springfield Boulevard,Springfield Gardens,11413,40.668235,-73.756839,9 to 12,N/A,0.82999998,0.72000003,0.85000002,0.63
29Q283,Preparatory Academy for Writers: A College Board School,143-10 Springfield Boulevard,Springfield Gardens,11413,40.668235,-73.756839,6 to 12,N/A,0.86000001,0.88999999,0.85000002,0.74000001
29Q313,Benjamin Franklin High School for Finance & Information Technology,207- 01 116th Avenue,Cambria Heights,11411,40.697819,-73.745728,9 to 12,N/A,0.85000002,0.83999997,0.85000002,0.60000002
29Q326,Cambria Heights Academy,188-04 91st Avenue,Hollis,11423,40.711849,-73.771195,9 to 12,N/A,0.89999998,0.94,0.87,0.73000002
29Q327,Eagle Academy for Young Men III,171-10 Linden Boulevard,Jamaica,11434,40.691712,-73.778923,6 to 12,N/A,0.72000003,0.89999998,0.87,0.70999998
29Q492,"Mathematics, Science Research and Technology Magnet High School",207- 01 116th Avenue,Cambria Heights,11411,40.697819,-73.745728,9 to 12,N/A,0.81,0.73000002,0.83999997,0.51999998
